,Headlines,Category,Probability
0,"Netflix is notorious for not giving a single shit about ratings. It does not report viewership numbers to investors, entertainment reporters, Hollywood, or fans—a fact that can be especially frustrating when popular shows seemingly get canceled out of the blu….",technology,0.36265851334825755
1,Dozens of women demanded a new inquiry in sexual harassment allegations against the chief justice..,politics,0.9156546902961425
2,"In 2016, Rajesh Raut started driving an Uber taxi in Mumbai, hoping he could earn more than the $215 he received each month for making flatbreads at a roadside stall..",sports,0.3315480544459587
3,"The European Union will defend the Iran nuclear accord despite Tehran's decision to backtrack on its commitments in response to U.S. sanctions, diplomats believe, but European powers expect it to collapse without a deal to sell Iranian oil to China or India..",politics,0.5076104929730874
4,The country’s demonetization hasn’t stopped people from using cash..,politics,0.52519722875873
5,"Sheila Dikshit vs Manoj Tiwari: Will North East Delhi Vote for Past Glory or Deliver a Purvanchali Punch? News18 Lok Sabha elections 2019 live updates: What Sam Pitroda said is completely out of line, says Rahul Times of India ‘Pact with Congress would be sam….",politics,0.47067978965733664
6,"Paired with a biannual testing programme, a combination drug used to prevent HIV infection has the potential to improve average per-person survival by nearly one year and block more than 270,000 HIV transmissions in India over a period of 15 years, says a stu….",technology,0.41459828504054846
7,"From Ramzan staple to Bollywood film title: A short history of Rooh Afza Scroll.in Family Rift Behind Disappearing Rooh Afza, But Company Denies NDTV News As RoohAfza Shortage Hits Ramzan, Pak Counterpart Offers to Help The Quint Family Rift Behind Disappeara….",politics,0.4168572637659944
8,"ITC former chairman YC Deveshwar who stalled british american tobacco passes away Business Insider India PM, other political and business leaders pay tributes to ITC's Deveshwar Moneycontrol YC Deveshwar death: ITC chairman YC Deveshwar passes away Economic T….",politics,0.6216866940166328
9,The Indian Institute of Democratic Leadership is training political hopefuls who align with the ruling BJP to be competent..,politics,0.6405465787781633
10,A technology writer visits the Bay Area for the first time.,politics,0.32978171827181996
11,NEW DELHI (AP) — Indians voted Sunday in the next-to-last round of a six-week-long national election marked by a highly acrimonious campaign that has seen Prime Minister Narendra Modi blame opposition party chief Rahul Gandhi's family for the country's ills..,politics,0.624471022614255
12,"India's antitrust watchdog has ordered an investigation into Alphabet Inc's unit Google for alleged abuse of its popular Android mobile operating system to block rivals, two sources aware of the matter told Reuters. The Competition Commission of India (CCI) l….",technology,0.5596914782300888
13,"Rahul Gandhi is contesting for the fourth time from the seat of Amethi in Uttar Pradesh -- a family bastion that he has not lost since his first election in 2004.  A former model and television soap opera actress, the outspoken Irani was beaten in 2014 but na….",politics,0.377425325520105
14,"India's antitrust watchdog has ordered an investigation into Alphabet Inc's unit Google for allegedly abusing the dominant position of its popular Android mobile operating system to block rivals, two sources aware of the matter told Reuters. The Competition C….",technology,0.6182101332942153
15,"The father and son, both successful entrepreneurs, made the pilgrimage together to the US city of Omaha to bask in the wisdom of billionaire Warren Buffett, whose simple approach to investing -- and whose mistrust of Wall Street -- they share. Both Paul Singh….",politics,0.30664590121030627
16,"More than 87 million people across seven states are eligible to vote in this phase, which includes some of the country's most electorally important regions such as Uttar Pradesh, the state with the most members of parliament. Rahul Gandhi, the 48-year-old lea….",politics,0.4503911782184148
17,"This curry is simple, flavorful, and made to fit the life of my mom — a harried cook, but someone who valued the texture and taste of a meal made with love. READ MORE....",entertainment,0.4081743690491925
18,"Researchers are troubled by a flat budget, and a rise in extremism and pseudoscience..",politics,0.3198731486813422
19,"Se trata de las películas, series y documentales más vistas del Reino Unido. The post "" Netflix da a conocer su primer Top 10 oficial de su contenido más popular "" appeared first on FayerWayer..",technology,0.3671696537546558
20,"OnePlus is getting ready to announce both the OnePlus 7 and the OnePlus 7 Pro across the world on May 14th. The OnePlus 7 is expected to be an iterative upgrade to the OnePlus 6T, sporting the same chassis but upgraded specs, including UFS 3.0. We know a lot ….",technology,0.8919184845921407
21,"A 45-minute train ride from Amsterdam, Keukenhof Gardens in the Netherlands is home to millions of flowers, including the tulips the region is known for..",politics,0.30535739035850357
22,"The airport experience doesn't have to be so anxiety-inducing. Many now offer gyms, yoga rooms, meditation areas, and much more..",technology,0.362013633235877
23,"Wann du eine Wohnung suchen solltest und wo das Bier am billigsten ist: eine Checkliste, mit der du im Ausland nur noch daran denken musst, wie du am meisten Spaß hast..",politics,0.3945981097102609
24,"Reuters : Interviews with 35+ Uber drivers in India reveal growing discontent with the platform, which has gradually removed its large incentives — MUMBAI/NEW DELHI (Reuters) - In 2016, Rajesh Raut started driving an Uber taxi in Mumbai, hoping he could earn ….",technology,0.3664641627468581
25,The Chennai Super Kings will face the  Mumbai  Indians in the 2019 Indian Premier League final after they beat the Delhi Capitals by six wickets in Friday's playoff.      The Super Kings won the toss and put their opponents into bat....,sports,0.9466095140597345
26,Keemo Paul's clutch four in the last over helped Delhi Capitals send Sunrisers Hyderabad packing by winning the eliminator by two   wickets in the 2019 Indian Premier League on Wednesday....,sports,0.8279862688226034
27,Mumbai Indians finished top of the 2019 Indian Premier League table ahead of the playoffs after beating Kolkata Knight Riders by nine wickets....,sports,0.8614581380687639
28,Mumbai Indians qualified for their fifth Indian Premier League final on Tuesday after they beat Chennai Super Kings by six wickets to contest for a fourth championship....,sports,0.9406550153610952
29,Chennai Super Kings and Mumbai Indians will go head-to-head in an Indian Premier League final for the fourth time on Sunday....,sports,0.940711489980675
30,Aditya Kalra / Reuters : Sources: India's antitrust watchdog has preliminarily found that Google abused the dominant position of Android and has ordered a full probe in April — NEW DELHI (Reuters) - India's antitrust watchdog has ordered an investigation into….,politics,0.4457733738343985
31,"Educational reforms in Delhi state are not being debated across the country, but the need for change is..",politics,0.7456445209377307
32,Economists say the very top percentage of Indians are benefitting in this economic climate..,politics,0.38328822534743456
33,News News: NEW DELHI: Bachan Singh was three years old when Delhi became British India’s capital..,politics,0.4898558503518246
34,"India News: NEW DELHI: The Aam Aadmi Party candidate for East Delhi Lok Sabha constituency, Atishi Marlena, alleged on Thursday that BJP candidate Gautam Gambhir ..",politics,0.7348181296367821
35,"Lok Sabha Elections 2019 News: NEW DELHI: Protesting against AAP's allegation that he was behind the scurrilous pamphlet against its East Delhi candidate, Atishi Marlena, BJP candid..",politics,0.7911284969498052
36,"Check IPL 2019 Live Score, Scorecard and Ball by ball Commentary of IPL 2019, Eliminator between Delhi Capitals and Sunrisers Hyderabad on Times of India.",sports,0.8390724106882445
37,"As the 5th phase of polling for the 7-phase Lok Sabha elections came to an end on Monday, political parties now shift focus mainly to Delhi, Haryana, West Bengal and some constituencies of Uttar Pradesh. Stay with TOI for all the latest updates from the campa….",politics,0.5359493156363189
38,The row started with AAP's Atishi alleging rival Gautam Gambhir of circulating pamphlets with obscene remarks about her in East Delhi constituency. Gambhir challenged that if AAP and Delhi CM can give the proof he will withdraw his candidature and retire from….,politics,0.6419351165661666
39,"In 2015, when newbie Aam Aadmi Party bagged 67 of the 70 Delhi assembly seats, halting the seemingly unstoppable BJP juggernaut, many across the country were surprised at the sheer scale of the victory. Four years on, Arvind Kejriwal's party faces a stiff tes….",politics,0.5579291243276091
40,"Lok Sabha Elections 2019 News: As soon as the press conference was about to start, three policemen entered the AAP headquarters at ITO and told AAP functionaries to stop the event b.",politics,0.4859277796661234
41,"The brilliance of Rishabh Pant (49 off 21) in the middle overs and Prithvi Shaw (56 off 38) at the top of the batting order put Delhi just one win away from entering the final, after they beat SRH by two wickets in the Eliminator on Wednesday..",sports,0.7322371002609956
42,"Ashish Pandey, clad in a blue shirt and denims - synchronised with the colour of his party, BSP - looks unflappable when asked about the sobriquets 'Pistol Pandey' and 'Pink Panther' given to him last year following Delhi's Hyatt Hotel incident as he joins th….",sports,0.3894927759520134
43,"A day after being slapped during a road show in Delhi, chief minister Arvind Kejriwal claimed on Sunday that the incident was an attempt to eliminate him..",politics,0.6263736011081091
44,India News: NEW DELHI: Fearing liquidation proceedings as the insolvency resolution process for debt-ridden real estate giant Jaypee Infratech Ltd (JIL) could not..,politics,0.5509578910472223
45,News News: NEW DELHI: BJP on Monday said the controversial clip purportedly showing sacked BSF trooper Tej Bahadur Yadav whose nomination from Varanasi Lok Sabha..,politics,0.45698377877504315
46,"India News: NEW DELHI: BJP president on Thursday slammed Congress' overseas chief Sam Pitroda over his ""hua to hua"" remark for the 1984 anti-Sikh riots..",politics,0.9107971461534758
47,India Business News: NEW DELHI: India’s industrial output contracted in March — the first time in nearly two years — after being dragged down by a decline in key manufactu..,politics,0.5447970119392751
48,News News: NEW DELHI: Finance minister Arun Jaitley on Sunday wondered why Congress president Rahul Gandhi gets disturbed when integrity issues of his late fathe..,politics,0.7266654716183117
49,"India News: NEW DELHI: Former Prime Minister Manmohan Singh's criticism of Modi government over a ""lack of economic vision"" drew a sharp reaction from the BJP, wh..",politics,0.8764862525595387
